Numero catalogo,Nome,Tipo di oggetto,Costellazione,Coordinate (2000),Distanza,Magnitudine visuale,Dimensioni apparenti,Dimensioni reali,Descrizione
M11,Ammasso dell’Anatra Selvatica NGC 6705,Ammasso aperto,Scudo,"A.R. 18h 51,1min; Dec. −06° 16'",5600 a.l.,"5,8",14',23 a.l.,"M 11 (noto talvolta anche come Ammasso dell'Anitra selvatica o con la sigla NGC 6705) è un ammasso aperto visibile nella costellazione dello Scudo. M11 è uno dei più ricchi e densi ammassi aperti conosciuti: contiene infatti circa 2900 componenti accertate; fra queste circa 400 sono più luminose della magnitudine 14. Dista 6000 anni luce dalla Terra e ha un'età stimata di 250 milioni di anni.
La densità di stelle nell'ammasso è stata stimata in circa 83 stelle per parsec cubico nelle vicinanze del centro, e in circa 10 stelle per parsec cubico intorno alla metà del suo raggio. La stella più luminosa dell'ammasso ha una magnitudine apparente di 8,5."
M12,NGC 6218,Ammasso globulare,Ofiuco,"A.R. 16h 47,2min; Dec. −01° 57'",16.000 a.l,"6,6",14',75 a.l.,"M 12 (conosciuto anche come NGC 6218) è un ammasso globulare visibile nella costellazione dell'Ofiuco. L'ammasso dista da noi 16.000 anni luce e ha un diametro apparente di 16,0', che corrisponde a un diametro reale di 75 anni luce. È uno degli ammassi con la minore densità di stelle, tanto che un tempo si pensava fosse un ammasso aperto molto riunito. Le stelle più brillanti dell'ammasso hanno una magnitudine di +12. Nell'ammasso sono state scoperte 13 stelle variabili. M12 si dirige verso di noi alla velocità di 16 km/s."
M13,Grande ammasso globulare in Ercole NGC 6205,Ammasso globulare,Ercole,"A.R. 16h 41,7min; Dec. +36° 28'",25.000 a.l.,"5,9",17',170 a.l.,"L'Ammasso Globulare di Ercole (conosciuto anche come M 13 dalla sua posizione nel Catalogo di Messier, oppure come NGC 6205) è un ammasso globulare visibile nella costellazione di Ercole. Si tratta dell'ammasso globulare più luminoso dell'emisfero boreale ed è visibile anche ad occhio nudo. M13 ha una magnitudine apparente di 5,8. Il suo diametro angolare è di 23', mentre il suo diametro reale è di circa 165 anni luce. M13 contiene diverse centinaia di migliaia di stelle, la più brillante delle quali è di magnitudine 11.95. Attorno al suo nucleo, le stelle sono circa 500 volte più concentrate che nei dintorni del sistema solare. L'età di M 13 è stata stimata tra i 12 e i 14 miliardi di anni. La sua distanza dalla Terra è di 23.157 anni luce. Apparendo così luminoso ad una così grande distanza, la sua luminosità reale è elevatissima, oltre 300.000 volte quella del Sole. Nel 1974 fu fatto un tentativo simbolico di inviare un messaggio verso altri mondi. Per celebrare un consistente ampliamento del radiotelescopio da 305 metri di Arecibo, un messaggio in codice di 1.679 bit fu trasmesso verso M13."
M14,NGC 6402,Ammasso globulare,Ofiuco,"A.R. 17h 37,6min; Dec. −03° 15'",30.000 a.l.,"7,6",12',110 a.l.,"M 14 (noto anche come NGC 6402) è un ammasso globulare visibile nella costellazione dell'Ofiuco. L'ammasso, di forma ellittica, dista da noi 30.000 anni luce; con la sua magnitudine assoluta di -9,1 l'ammasso è molto più brillante intrinsecamente rispetto agli altri ammassi della costellazione, M10 e M12. La sua luminosità è equivalente a quella di 400.000 soli e contiene centinaia di migliaia di stelle, anche se la concentrazione di stelle al centro dell'ammasso è relativamente bassa. M14 contiene inoltre più di 70 stelle variabili; fra cui una nova apparsa nel 1938. Le stelle più brillanti dell'ammasso hanno una magnitudine di 14. "
M15,NGC 7078,Ammasso globulare,Pegaso,A.R. 21h 30min; Dec. +12° 10',33.500 a.l.,"6,4",12',110 a.l.,"M 15 (noto anche come, NGC 7078) è un ammasso globulare situato nella costellazione di Pegaso, al limite della visibilità all'occhio nudo; è uno degli ammassi più densi della Via Lattea. L'ammasso è uno dei più densi conosciuti: il suo nucleo ha subito una contrazione in passato, forse a causa di un buco nero; questo collasso del nucleo è stato osservato anche in altri ammassi, come M30. L'ammasso contiene molte stelle variabili, ben 110, che hanno permesso di stimare una distanza pari a 33.600 anni luce. Molte di queste sono del tipo RR Lyrae, ma è nota anche una variabile Cefeide. L'ammasso accoglie anche un notevole numero di pulsar e di stelle di neutroni, resti di stelle massive ""morte"" durante la giovinezza dell'ammasso; inoltre, è uno dei pochi ammassi a contenere una nebulosa planetaria, Pease 1, nella sua periferia."
M16,Nebulosa Aquila o Nebulosa Regina delle stelle NGC 6611 + IC 4703 ,Ammasso aperto associato a nebulosa ad emissione,Serpente,"A.R. 18h 18,8min; Dec. −13° 47'",8200 a.l.,6,6',17 a.l.,"La Nebulosa Aquila (nota anche come M 16 o NGC 6611) è una grande regione H II visibile nella costellazione della Coda del Serpente; è formata da un giovane ammasso aperto di stelle associato ad una nebulosa a emissione composta da idrogeno ionizzato, catalogata come IC 4703. La sua distanza è sempre stata relativamente incerta, ma si tende ad accettare un valore di circa 5700 anni luce dalla Terra, ponendola così nella zona media del Braccio del Sagittario; contiene alcune formazioni estremamente conosciute, come i Pilastri della Creazione, le lunghe colonne di gas oscuro originate dall'azione del vento stellare delle componenti dell'ammasso centrale e che sono responsabili anche del nome proprio della nebulosa stessa, a causa della loro forma. In esse sono presenti alcuni oggetti stellari giovani, che testimoniano che i processi di formazione stellare sono tuttora in atto, anche se non è chiaro se questi siano favoriti od osteggiati dall'azione del vento stellare delle stelle vicine, né è chiaro se il vento effettivamente influisca in qualche maniera su questi fenomeni. L'ammasso è composto da un gran numero di supergiganti blu molto calde e brillanti; la loro età tipica è di appena 2-3 milioni di anni, cioè meno di un millesimo dell'età del nostro Sole; la stella più brillante dell'ammasso è di magnitudine 8,24, ben visibile anche con un binocolo. La nebulosa è nota fin dal Settecento ed è uno degli oggetti più noti fra quelli del Catalogo di Messier; si rivela con facilità nelle fotografie ed è dunque un buon soggetto per gli appassionati dell'astrofotografia amatoriale. https://it.wikipedia.org/wiki/Nebulosa_Aquila"
M17,"Nebulosa Omega, Nebulosa Cigno, Nebulosa Ferro di Cavallo, Nebulosa Aragosta
NGC 6618",Nebulosa ad emissione associata ad ammasso aperto,Sagittario,"A.R. 18h 20,8min; Dec. −16° 11'",5000 a.l.,6,46' x 37',65 x 55 a.l.,"La Nebulosa Omega (nota anche come Nebulosa Cigno, Nebulosa Ferro di Cavallo, Nebulosa Aragosta o con le sigle di catalogo M 17 e NGC 6618) è una nebulosa a emissione, scoperta da de Chéseaux nel 1746 e riscoperta da Charles Messier nel 1764, situata nella costellazione del Sagittario.La Nebulosa Omega, trovandosi a una distanza di circa 6000 anni luce da noi, viene a trovarsi su un braccio di spirale galattico più interno al nostro Braccio di Orione, il Braccio del Sagittario, su cui giacciono anche altri oggetti molto brillanti come molti degli ammassi aperti visibili fra le costellazioni dello Scorpione e del Centauro, fino alla Nebulosa della Carena. Uno studio del 2008 afferma comunque che questo braccio sarebbe solo una grande condensazione di gas e polveri da cui sono nate diverse stelle giovani. La linea di vista dalla Terra alla nebulosa è sì disturbata dalla presenza di polveri interstellari, anche a causa della lunga distanza, ma appare comunque meno oscurata rispetto ad altre zone adiacenti: infatti la nebulosa è visibile sul bordo della cosiddetta Fenditura dell'Aquila, una lunga scia di nebulose oscure appartenenti al nostro braccio di spirale che schermano completamente la luce proveniente dalle stelle della fascia settentrionale del Braccio del Sagittario."
M18,NGC 6613,Ammasso aperto,Sagittario,"A.R. 18h 19,9min; Dec. −17° 08'",4900 a.l.,"6,9",9',17 a.l.,"M 18 (noto anche come NGC 6613) è un ammasso aperto non molto appariscente visibile nella costellazione del Sagittario. M18 contiene principalmente stelle di tipo spettrale B3, ciò significa che l'ammasso è relativamente giovane, la sua età stimata è di 32 milioni di anni; le stelle più brillanti hanno una magnitudine apparente pari a circa 9.L'ammasso è localizzato a circa 4.900 anni luce dal sistema solare, tenendo conto del suo diametro apparente di 9 minuti di arco, il suo diametro reale risulta essere circa 17 anni luce."
M19,NGC 6273,Ammasso globulare,Ofiuco,"A.R. 17h 02,6min; Dec. −26° 16'",28.000 a.l.,"7,1",13',130 a.l.,"M 19 (noto anche come NGC 6273) è un ammasso globulare visibile nella parte meridionale nella costellazione dell'Ofiuco. M19 è situato alla distanza di circa 28.000 anni luce dal sistema solare ed è caratterizzato dalla sua forma particolarmente ellittica, uno degli ammassi globulari più ovaleggianti che si conoscano: la sua ellitticità sarebbe E4; si tratta anche uno degli ammassi globulari più vicini al nucleo galattico, da cui disterebbe solo 5.200 anni luce. Le sue stelle più brillanti sono di quattordicesima magnitudine; il diametro maggiore sarebbe di circa 140 anni luce."
M20,Nebulosa Trifida NGC 6514,Nebulosa ad emissione associata ad ammasso aperto,Sagittario,"A.R. 18h 02,6min; Dec. −23° 02",5200 a.l.,"6,3",29',45 a.l.,"La Nebulosa Trifida (nota anche come M 20, o NGC 6514) è una nebulosa a emissione e una regione H II situata nella costellazione del Sagittario. Deve il suo nome alle tre linee scure di nubi di polvere che la dividono in tre parti.La Neblosa Trifida dista circa 5.000 anni luce dalla Terra, venendosi così a trovare nel Braccio del Sagittario, ossia il braccio di spirale immediatamente più interno del nostro. La singola stella massiva visibile al centro è fonte della gran parte dell'illuminazione dell'intera nebulosa; ha un'età stimata di circa 300.000 anni, che ne farebbe la più giovane regione di formazione stellare conosciuta.Le stelle che eccitano i suoi gas sono giganti blu di classe spettrale O e di magnitudine assoluta pari a -5, dell'età di circa 7 milioni di anni; i vari colori sono dati dai diversi elementi: il rosso è tipico dell'idrogeno, mentre l'azzurro dell'ossigeno. Le bande oscure sono invece polveri e gas freddi e non illuminati."
M21,NGC 6531,Ammasso aperto,Sagittario,"A.R. 18h 04,6min; Dec. −22° 30'",4000 a.l.,"5,9",13',16 a.l.,"M 21 (noto anche come NGC 6531) è un ammasso aperto situato nella costellazione del Sagittario e scoperto il 5 giugno 1764 da Charles Messier.L'ammasso aperto ha una concentrazione centrale di stelle notevole per questo tipo di oggetto, essendo la distanza fra le stelle vicina all'anno luce. Una sessantina di stelle appartengono all'ammasso; le stelle più brillanti (magnitudine 8) sono di tipo BO e quindi molto giovani: l'età dell'ammasso è stimata in meno di 5 milioni di anni. La distanza dell'ammasso varia molto a seconda delle stime, ma si attesta sui 4.000 anni luce."
M22,NGC 6656,Ammasso globulare,Sagittario,"A.R. 18h 36,4min; Dec. −23° 54'",10.400 a.l.,"5,1",24',97 a.l.,"M 22 (noto anche come NGC 6656) è un ammasso globulare situato nella costellazione del Sagittario; si tratta del quinto in ordine di luminosità di tutta la volta celeste ed è individuabile pure ad occhio nudo. Questo ammasso globulare è uno dei più vicini alla Terra: si trova a soli 10.400 anni luce e per questo arriva a coprire una regione di area pari a quella della Luna; a questa distanza il suo diametro reale corrisponde a circa 97 anni luce. Contiene circa 100.000 stelle, ma solo una trentina di stelle variabili, la metà delle quali già note all'inizio del Novecento; gran parte di queste sono del tipo RR Lyrae, di cui una con un periodo di 199,5 giorni, sebbene non sia più considerata un membro reale dell'ammasso. La magnitudine media delle 25 stelle più luminose di M22 è pari a 12,9, dunque maggiormente luminoso delle componenti di M13, dove questo valore è di 13,7. M22 si allontana da noi alla velocità di 144 km/s. M22 è anche uno dei rari ammassi globulari, assieme a M15, a ospitare una nebulosa planetaria, che porta il nome di IRAS 18333-2357 ed è stata scoperta dal satellite IRAS.Diversamente da M15, l'ammasso non possiede una concentrazione centrale di stelle marcata. La nebulosa planetaria, riconosciuta come tale solo nel 1989, possiede una stella blu centrale; l'età della nebulosa (chiamata anche GJJC1) è di circa 6000 anni."
M23,NGC 6494,Ammasso aperto,Sagittario,"A.R. 17h 56,8min ; Dec. −19° 01'",2150 a.l.,"5,5",27',17 a.l.,"M 23 (conosciuto anche come NGC 6494) è un ammasso aperto visibile nella costellazione del Sagittario. M23 si trova alla distanza di circa 2.150 anni luce dalla Terra; il suo diametro si aggira intorno ai 15-20 anni luce.All'interno dell'ammasso sono stati identificati circa 150 membri; le sue stelle più calde sono di tipo B9 e le più luminose raggiungono la magnitudine 9,2. L'età stimata si aggira fra i 220 e i 300 milioni di anni."
M24,Contiene NGC 6603.,Asterismo (nube stellare),Sagittario,"A.R. 18h 16,9min ; Dec. −18° 29'",10.000 a.l.,"4,5",1° 55' x 45',Non disponibile,"La Nube stellare del Sagittario (nota anche come Nube delle Caustiche o M 24), è un vasto insieme di stelle visibile nella costellazione del Sagittario; ingloba anche gli ammassi IC 4715 e NGC 6603. M24 si estende in una regione galattica situata lungo il Braccio del Sagittario e possiede una lunghezza di circa 600 anni luce; certe volte, a causa della sua notevole estensione (una nube stellare galattica) non viene considerato un ""oggetto del profondo cielo"" a tutti gli effetti: si tratta infatti di una grande nube di polveri, stelle e gas interstellari la cui forma reale non è quella che è osservabile da Terra, essendo in realtà conferita dalle nubi oscure circostanti, che lasciano intravedere una regione del braccio di spirale fra le più dense della zona e facendolo sembrare un ammasso di stelle a sé stante. La sua distanza è stimata tra i 10.000 e i 16.000 anni luce, ed è la concentrazione più densa di stelle individuali visibile usando un binocolo. All'interno di questo tratto di spirale si trova l'ammasso aperto NGC 6603 di magnitudine 11 e composto da una trentina di stelle a partire dalla dodicesima grandezza e distante circa 10.000 anni luce; le sue stelle più luminose sono di classe spettrale B9, che indicano che l'età dell'ammasso potrebbe aggirarsi su un centinaio di milioni di anni."
M25,IC 4725,Ammasso aperto,Sagittario,"A.R. 18h 31,6min; Dec. −19° 15'",2000 a.l.,"4,6",40',19 a.l.,"M 25 (conosciuto anche come IC 4725) è un brillante ammasso aperto visibile nella costellazione del Sagittario; è visibile anche ad occhio nudo senza troppe difficoltà in un cielo buio. Si tratta di un ammasso aperto piuttosto sparso formato da una cinquantina di stelle più brillanti di magnitudine 12 e forse alcune dozzine di membri più deboli; M25 si trova alla distanza di circa 2.000 anni luce dalla Terra. Il suo diametro apparente è di circa 40 minuti d'arco, mentre il suo diametro reale è di circa 19 anni luce. Al gruppo appartiene una Variabile Cefeide denominata U Sagittarii, che ha un periodo di 6,74 giorni."
M26,NGC 6694,Ammasso aperto,Scudo,"A.R. 18h 45,2min; Dec. −09° 24'",5000 a.l.,8,15',22 a.l.,"M 26 (noto anche come NGC 6694) è un ammasso aperto nella costellazione dello Scudo. M23 si diffonde per 22 anni luce e si trova alla distanza di circa 5000 anni luce dal Sole; la sua stella più brillante ha una magnitudine apparente di 11,9. L'ammasso dovrebbe contenere all'incirca un centinaio di stelle e la sua età è stimata in 89 milioni di anni. Una caratteristica interessante di M26 è la presenza di una regione a bassa densità stellare vicino al nucleo, probabilmente causata da una nube oscura di polvere interstellare interposta tra noi e l'ammasso. "
M27,"Nebulosa Manubrio o Campana Muta
NGC 6853",Nebulosa planetaria,Volpetta,"A.R. 19h 59,6min; Dec. +22° 43'",1000 a.l.,"7,3","8,0'","1,7 a.l.","La Nebulosa Manubrio (nota anche come Nebulosa Dumbbell, dalla corrispondente denominazione inglese) o con le sigle di catalogo M 27 e NGC 6853) è una celebre e brillante nebulosa planetaria visibile nella costellazione della Volpetta.La nebulosa dista circa 1360 anni luce dalla Terra, è di magnitudine apparente 7,4, ha un diametro apparente di circa 8 arcominuti e un'età stimata di 9800 anni; la sua forma ricorda quella di uno sferoide prolato ed è vista lungo la linea prospettica del piano equatoriale. Nel 1992 è stato determinato che il tasso di espansione sul piano del cielo di questa nebulosa non è superiore ai 2,3' al secolo: in conseguenza a ciò, può essere determinato un limite di età massima che si aggira sui 14.600 anni. Dato che l'asse maggiore ha un raggio di 1,01 anni luce, l'età cinematica della nebulosa sarebbe di 9800 anni.La stella centrale è una nana bianca con un raggio di 0.055 ± 0.02 Raggi solari, superiore dunque ad ogni altra nana bianca conosciuta; la massa della stella centrale è stata stimata nel 1999 come pari a 0.56 ± 0.01 Masse solari."
M28,NGC 6626,Ammasso globulare,Sagittario,"A.R. 18h 24,5min; Dec. −24° 52'",18.000 a.l.,"6,9","11,2'",75 a.l.,"M 28 (noto anche come NGC 6626) è un ammasso globulare situato nella costellazione del Sagittario.Il diametro lineare di M28, ottenuto rapportando la sua dimensione apparente con la sua distanza, si aggira sui 75 anni luce. In questo ammasso, distante più di 18.000 anni luce, sono state osservate 18 variabili del tipo RR Lyrae; nel 1987 M28 fu il secondo ammasso dove fu osservata una pulsar superveloce; il primo fu l'ammasso globulare M4. La sua velocità radiale è poco più di 1 km/s in recessione "
